PhraseNo,Phrase,IsHateSpeech
1,බැල්ලි කොටින් ග කනකො අපහසුවක දැනුන දන ඔ මිනිහ මැරුන දැනු දු දහස ගුනය දුකක දැනෙ ඉස්සරහ උපසම්පදා තිය භික්සුවක හිර යැවුව ඔ වැඩියෙන් ආදර කෙනෙක ඔ නැ වෙ වැඩි කල නොගිහින,YES
2,මන ඊ මුස්ලිම ඩෑල එකක සෙල්ෆියක ගත්ත සහජීවන රැකගෙ යන් ඌ ඒ තා දා පර,YES
3,සංහිදියාව අවුලක වෙ,NO
4,කටින පුරසාරම දොඩ අපි සිංහලය විදිය ලැජ්ජ වි යුතු,YES
5,මචන මගු නවත්ත කොන්දක තියෙනවානම පුලුවන්නම කර පෙන්නපන දෙසපාලන කර අයගෙන ම රට වෙලාතියෙ කිය එදා උබ නිය කොල්ලෙක පුලුවන්නම කර පෙන්නනවා,YES
6,ආණ්ඩු නෙවෙ ර හූරාගෙ තමන් බූදල කිය හිතාගෙ ර උගස තිය සල්ලි නය අරගෙ තමතමන් පරම්පරා එවුන්ට හිතවත එවුන්ට බෙදාගෙ ක සියලු දේශපාලකයන දුට දුට තැ මර දා දින වැඩි ඈත,YES
7,ලංකා මෙි ඉ වාහනයක ගත්ත අලි ඔලුවෙන ඉන් පාර ය එකෙක හිතන්නැ නිරැවත පිංපිය ව එවුන ටිකක න,YES
8,menna ratawal menna minissu ape ratawal wala inna jathin thunema gothrikayo tika manussayo karala inna wenawa,YES
9,උඹ ලෝකයක හදාගත්ත නම්බු ලංකා කාලකණ්ණි එ විනාඩියේන නැ කර බන හන් දේශපාලන කරන් එන් මචංංංංං ගුඩ්ලක,YES
10,පල්ලිය ගලක වැදුනත පරසක්ව ගහ ම පන්සල බිම සමත කර සද් මූ කොහොමත ඡන්ද දෙ,YES
11,පංසල විනාශ කර ඇරෙ නැ සංගා  පල්ලිය ගල ගහද්දි ඇරුණ එහෙ නායකත්වයක සිංහ ර ජාති හදයි,YES
