Phrase,IsHateSpeech
මේ බැල්ලි කොටින් ගු කනකොට අපහසුවක් දැනුනෙ නැද්ද දන් නැහැ ඔකිට මිනිහා මැරුනම දැනුන දුකට වඩා දහස් ගුනයක දුක දැනෙන ඉස්සරහ උපසම්පදා තියන භික්සුවක් හිරේ යැවුවට ඔකි වැඩියෙන් ආදරේ කෙනෙක් ඔකිට නැති වෙනවා වැඩි කල් නොගිහින්,YES
මන් ඊයේ මුස්ලිම් ඩෑල් එකක් එක්ක සෙල්ෆි ගත්තා සහජීවනේ රැකගෙන ඉදිරිය යන්න ඌ ඒක තාම දාල නෑ පරයා,YES
සංහිදියා අවුල වෙයි ද,NO
කටින් පුරසාරම් දොඩන අපි සිංහලයො විදියට ලැජ්ජා විය යුතුයි,YES
මචන් ඔය මගුල නවත්තල කොන්ද තියෙනවානම් පුලුවන්නම් කරලා පෙන්නපන් ඔය දෙසපාලනය කරන අයගෙ මෙ රටට මොකක් වෙලාතියෙන්නෙ කියලා අන්න එදා උබ නියම කොල්ලෙක්පුලුවන්නම් කරලා පෙන්නනවාද,YES
හැබැයි ඒ මේ ආණ්ඩුවේ විතර නෙවෙයි රට හූරාගෙන තමන්ගෙ බූදලය කියල හිතාගෙන රට උගස් තියල සල්ලි නයට අරගෙන තමතමන්ගෙ පරම්පරාවෙ එවුන්ටයි හිතවත් එවුන්ටයි බෙදාගෙන කන සියලුම දේශපාලකයන් දුටු දුටු තැන මරලා දාන දිනය වැඩි ඈතක නෑ,YES
ලංකා මොකක් මෙිකෙ ඉන්නෙ වාහනයක ගත්තම අලි ඔලුවෙන් ඉන්න පාරෙ යන වෙන එකෙක් ගැන හිතන්නැති නිරැවත් පිංපියො වගෙ එවු ටික නෙ,YES
උඹ ලෝකය ඉස්සරහ හදාගත්ත නම්බුව ලංකාවේ කාලකණ්ණි එක විනාඩියේන් නැති කරයි බන් ඒ හන්ද දේශපාලනය කරන්ට එන්ට එපා මචංංංංං ගුඩ්ලක්,YES
පල්ලියකට ගලක වැදුනත් පරසක්වල ගහන මූ පන්සල් බිමට සමතලා කරද්දී සද්ද නෑමූට කොහොම ඡන්දෙ නම් දෙන්නෙ නෑ,YES
පංසල් විනාශ කරද්දී ඇරෙන්න නැති සංගා කට පල්ලියට ගල් ගහද්දි ඇරුණා එහෙම නායකත්ව සිංහල රට ජාතිය හදයිද,YES
ජයසූරිය ජයසූරිය,YES
රට හදන්න ඕනේ නම් එන්ජීඕ ගැට වලින් මිදී ගෙදරට වී ඉන්න,YES
කියන්න වැඩ හොදනම් හදවතින් සපෝර්ට් හැබැයි පොහොට්ටුව නොවී නම් හුරේ,YES
