PhraseNo,Phrase,IsHateSpeech
1,gothrikayo jathin inna wala karala manussayo ape menna wenawa thunema ratawal tika minissu,YES
2,bat karagena daruwan elluwada oka prrsiddath karanna nikan beri paduway weda therum thiyena gaththada epa nokaran ganna inna desapalanayata hitahan bole eka oyala atha nethi,YES
3,agamata kata muth unta jathiyata koti witharai endiyawata ganan ape denawa mukuth arinne na sadda anik rate ahinsakayant,YES
4,ubalata song barinam thiyana sindu edapan epa lassana ewa kanna karanna buruwo songs nikan kochchara,YES
5,wena hadanna yanne karanam api wachanayak set muth walata ground kridakayanta yanawa akenma danne nathi nanna asadaranakam eliyata mahela aka rata,YES
6,valikande yen karan polonnaruve unp apith nane gen dun onida ogama dannava kiyak maddida den danna 1800 hmbawnaakkara ai noth vada sanga mahinda naoni kaururh apita akkara,YES
7,sinhalen danna lankawa reddak kiyanna meka dana,YES
8,me puluwan yaka witharai wenna bauddayekuta president croatian,YES
9,nam karanna bai eken oni epa ewun okunta tharam wada elawanna satha 5k job wadi ennawa nathi eliye aka,YES
10,quality nathi ekak apatayek kisi,YES
11,dena chande thawath me innawane munta buruwo rate,YES
12,karapan thilangayawa esige henagapiya thota hurathal kadaya putha,YES
13,oi un yakooo thirisana dawiwaru deehan cricket kridawa sangata kawe putuwa,YES
14,ekek me kiyana kwda roy da ekaa hoodana lat,YES
15,eka thuuu ape ekata,YES
16,dakuna arthmarthakameeeeeeeeeeee menessuu harema,YES
17,sinhalayo kuhakayo,YES
18,quality innakam majarayo police political wage baha karanna lankawe wadi eka,YES
19,lami bike ta bulath police kagena wala we ahisaka inne dena ne nawath karayo kanna ugen ekak 500 bahapu rs wite aragena labba lanka naki ganun,YES
20,nikamata walatath ganja rilau police keeyak paththata unge inne gihilla ne walin gam apu hari ali kisima kasippu ekak gon harak puhunuwak yata office duwana bothalayata un aragena karayagen tikak nathi wrdi una blapalla,YES
21,inne wadiyenma tmai polisiya ape horu atule,YES
22,echchari arawa gena policeya danne kanno,YES
23,ratakata me manussayata tama karapu dora kalak ne maha epa vahane nidalle ponnayo kare ekek giya okunat chance help serama tatwat dewal denna ara aparade un ekai arinna rate,YES
24,haththa pathali karanna daruwanta ballo okunge epa gahanawa para ethuru akekwath edala hena,YES
25,kollo waditiyala nikaruna kiyana ahinsa maranawa oluwata bayta apa ahama horu ada amm akada oya kiyann yahpalan natara gama waradagan ba puta adanwa danna wada batuwa minusu ahka maragann policya bollonga ona baluwa sakilli nisai tiyana,YES
26,training me koheda une horu,YES
27,nathywaa karikii uuu karannee innee mandaa wagee mokek mona daa pissek udauu thattayaa,YES
28,inne un mathara thiyenne dakune bayagullo kehegahuwata kiyala okunwa maraladanna,YES
29,hoda kata patalema sambanda tawa meta gedara karanawa ekekuta sellam maha duwanawa lejjai palayan nodi oya dodawana paw pena arun arakahawa pattama inna mesinngan ottu wepan uda jatika denek amatio hat pare polisiata dipan,YES
30,manussayata pirimi dora napunsakayo ne wahane e samahara enne inna pirimida manussaya lankawe dennawat attatama ara mun arala ane kenek veerayek,YES
31,meyata bawanawa aydayak dennekwath tibbanam aprade aniwa,YES
32,hospital inna thiyenne wada deela tikath maranda ewun,YES
33,ara ekek shit yanawa dakalat wage dakke na,YES
34,waha oya palane tamai raga,YES
35,baladarin ona mun karana loku nasthi kalakanni mudal ekai waga okkoma balu heththa kiyanna mewata mahajana,YES
36,loku aewa weradi akke unge,YES
37,mun be diunukarana kalakanni wage innakan ratawal,YES
38,salakanne thathala kalaknni me nathuwa duk idala api thaththala wenwa,YES
39,ona me thopi wage wadina athmedi lamainta hena,YES
40,ube me gaththa kalakanni apith oththu anduwa gedara eken miniha path hamudurowo karayek yawala sahimakata 2020 ltte passe wenawa aththak salli kotiyek kiwe,YES
41,okata oyage daraganna thawakalika sathuta bari wei windawanna winda uparima ganna weddi,YES
42,me wesi huththita kohila athulata daala 2ka cari miriskudu karala bessuwanam huththa balu alayak wesige depeththata kakul wesita wada mita puke lebei arinna katu one sathutak,YES
43,ganu wenawamai dawasak yamaha tho jatiyatama nindawak thota sapa lake wadi,YES
44,winasa karana ne dahama meki budu janadi pathinitakda hethiriyak lankawe,YES
45,dusanaya bella neme mokuth daruwo maranawa apahasa mirikala maranna ewata thibbe ane karanna pau podi na kumarihamita karala,YES
46,kirimata nigaru marapuuna ciwarayanata ubda na painawa tigae danawamai hari kada kiyapu wadaniya amruwak budu hiyanna karumae katin uda dittadamna wacanata miha padisan,YES
47,karanawa apa sundara karayo cjiwaraya baluwah gani apra hinsa ma balla giya buddha wada dukai oita ratak appa matharamma daruwo wanawa harima gana wasthuwakda podi antha rata koha,YES
48,wadapu wesiyek ammage tenatath to balu wage toge henagahannaona,YES
49,kanthawakata me hirihara maruwath geniyekuta kireema waradei habai wage newei pau na kotiyekuge banna,YES
50,mun ratata me mahindata barademu okkoma hadamu akathuwemu ape mokadda wenne sinhalayage rata alawanna,YES
51,wesita keri hukaganna kiyahan kiyala thambiyelta,YES
52,panapitama padesan as sathuta okege one denna,YES
53,patta wesi toge netuwa henama api duwanna anduwatai totai tota edata wei gahanawa gahapan redi lagadima hinsanayata pare gal,YES
54,wendath unaawagema tho sathutu duk wenawa,YES
55,gahapiya thindu me rajayatai hotai karapu henama ekatai,YES
56,karapan hodak gihin me wesi kotinge deka wesitanm ata hena sidda gahapan suppu wenne cari nehe,YES
57,neeee lokuda danne huththa,YES
58,usawiyeth theendu desapalana,YES
59,gahapiya huttita hana balu hatama,YES
60,karapan nidahas nethiwa unansewa kanna hitan hodaekaawage magenguti oya,YES
61,karumeta gahala haduna akalata wesiyo,YES
62,inna hora yana kade ganayonta ratak gonnu meka,YES
63,gahanna me lasthiweyalla genige geta gal,YES
64,mun winasa ewarayi karalla rata,YES
65,wasi ponna,YES
66,goda maruna aknali sathutu api gana wenawa aka,YES
67,gahapiya nayakaya ponnayek ohoma unama hena genita wesa tamai rate,YES
68,ako walata ira ratama eke wikka munta hada ltte payanawaneeee salli,YES
69,paaulama mulu nadukarayage engema okage gedidapn hedigeviyan,YES
70,shapa koti wewa ubata gani,YES
71,paduru makabawilama pala wesi,YES
72,pada ekak show meeka,YES
73,weesi thoge balu thota gahapan patawuntath hena,YES
74,gahapiya henama wesa ballita,YES
75,hodai tope an anduwa tiyana,YES
76,dan ne wena nathuwa mekita ekak aduwak miniha,YES
77,deepan sathutu nam baduwa wesa puka,YES
78,me ekak kalwam genige jathae,YES
79,nam vinisuran thala lowak wadaya neethiya yadamin kumata idikatu dena benda warada putha saha engili vilangu yanna erata adhikaranaya danduwam dethis mage sithima weni pamunuwanna la aluth gena regena,YES
80,megala gahanna gihin unta thamai eke bol bus bona tiyenne,YES
81,gahanna kollekta kellek inna laga witharai danne gaman aduwa ponnayo allan,YES
82,honda samjeta adrshyak harak ape eka,YES
83,tpita atta pisuda kiyala yako aiyo man htuwe,YES
84,kimbak ape amma penne untath eduwoth n thaththawath,YES
85,lisan puluwan dannawa nattiyak veede api yanna oka kiyala nathawa yako,YES
86,me samanya kalakanni minasata desapalakayanta nathi thama karume de danena penne eka,YES
87,shampoo nadda dakune,NO
88,hoda hinawey muladi ekak karoth devole idea digatama karala,NO
89,puluvan adan handuruvane kohomai yanne eth reddak ape oka hadannanam dagena,NO
90,yen police navatthana na ekkak,NO
91,un gihin fite kalayak fan rexona kala ellan ape mathakane market,NO
92,madi hati pahadili karapu visthara,NO
93,me bn dapuwahama wagene mokkakda mahasona eka,YES
94,wadidinu thawa thawath karanna ela mede,NO
