PhraseNo,Phrase,IsHateSpeech
1,minissu wenawa inna jathin ape manussayo karala menna wala gothrikayo thunema tika ratawal,YES
2,weda nikan eka daruwan nethi prrsiddath epa thiyena ganna atha elluwada beri oyala bole gaththada desapalanayata oka paduway bat inna karagena nokaran hitahan karanna therum,YES
3,endiyawata ganan unta jathiyata arinne kata ape mukuth witharai ahinsakayant muth anik agamata denawa rate koti na sadda,YES
4,kochchara song lassana nikan kanna epa edapan ewa barinam songs karanna buruwo thiyana sindu ubalata,YES
5,eliyata danne nathi api karanam muth yanawa asadaranakam yanne wachanayak aka kridakayanta ground rata walata set mahela wena akenma nanna hadanna,YES
6,yen ai akkara mahinda maddida valikande nane ogama hmbawnaakkara 1800 sanga karan noth kiyak apita kaururh naoni vada polonnaruve gen apith dun onida dannava den unp danna,YES
7,reddak sinhalen dana meka danna lankawa kiyanna,YES
8,puluwan yaka croatian witharai me bauddayekuta president wenna,YES
9,5k nathi okunta ewun eliye epa aka eken bai elawanna tharam ennawa wada job satha nam oni karanna wadi,YES
10,nathi ekak quality kisi apatayek,YES
11,chande me munta dena rate buruwo thawath innawane,YES
12,kadaya thilangayawa esige hurathal karapan putha henagapiya thota,YES
13,deehan kridawa dawiwaru oi sangata kawe un putuwa yakooo thirisana cricket,YES
14,ekek roy lat ekaa me da hoodana kwda kiyana,YES
15,ekata eka ape thuuu,YES
16,harema dakuna menessuu arthmarthakameeeeeeeeeeee,YES
17,sinhalayo kuhakayo,YES
18,innakam eka majarayo police lankawe political quality karanna baha wage wadi,YES
19,ganun ekak ahisaka wala ta nawath bike 500 ugen wite lami we karayo rs aragena bulath kanna naki dena lanka kagena labba inne police bahapu ne,YES
20,nathi ekak gam una duwana gihilla bothalayata gon kasippu puhunuwak ali walin walatath yata paththata tikak aragena rilau ganja blapalla kisima harak un karayagen office inne police apu hari wrdi nikamata keeyak ne unge,YES
21,wadiyenma ape horu inne tmai polisiya atule,YES
22,danne policeya gena kanno echchari arawa,YES
23,kare tatwat tama rate kalak chance ponnayo giya karapu epa ekai me dora okunat denna nidalle ara aparade dewal vahane un ekek ratakata help serama manussayata maha arinna ne,YES
24,okunge edala ballo ethuru para haththa epa pathali gahanawa akekwath daruwanta hena karanna,YES
25,natara tiyana oluwata ba ahka horu sakilli akada apa gama kiyana ona batuwa ada baluwa kollo waradagan minusu maragann amm puta nikaruna nisai oya bayta wada bollonga maranawa policya kiyann yahpalan ahinsa waditiyala ahama adanwa danna,YES
26,une training horu me koheda,YES
27,thattayaa wagee udauu daa karikii karannee nathywaa mandaa mona mokek innee uuu pissek,YES
28,okunwa kehegahuwata kiyala inne mathara thiyenne bayagullo maraladanna dakune un,YES
29,uda duwanawa hat nodi kata arakahawa dipan meta amatio paw pena lejjai oya karanawa jatika tawa sellam wepan gedara denek sambanda mesinngan hoda dodawana polisiata patalema arun ottu inna pare pattama ekekuta palayan maha,YES
30,dennawat samahara e pirimi arala mun dora enne ara manussaya lankawe veerayek kenek napunsakayo ane inna wahane attatama manussayata pirimida ne,YES
31,aydayak tibbanam bawanawa aprade dennekwath aniwa meyata,YES
32,inna tikath deela wada maranda thiyenne ewun hospital,YES
33,shit dakalat yanawa ara wage ekek na dakke,YES
34,raga tamai palane waha oya,YES
35,mewata waga balu mahajana nasthi baladarin kalakanni mun ekai mudal karana loku okkoma heththa kiyanna ona,YES
36,aewa weradi akke loku unge,YES
37,innakan diunukarana be kalakanni mun wage ratawal,YES
38,thaththala api nathuwa kalaknni salakanne wenwa me thathala duk idala,YES
39,wadina thopi me athmedi hena wage lamainta ona,YES
40,salli ltte gaththa kotiyek kalakanni hamudurowo 2020 me path eken yawala anduwa wenawa ube miniha gedara apith karayek passe oththu sahimakata aththak kiwe,YES
41,thawakalika sathuta oyage weddi windawanna ganna bari uparima wei daraganna winda okata,YES
42,kakul puke athulata cari alayak wesige wesita 2ka huththa me mita sathutak kohila bessuwanam karala wada lebei katu depeththata huththita wesi balu daala miriskudu one arinna,YES
43,ganu sapa wenawamai nindawak lake yamaha tho thota dawasak jatiyatama wadi,YES
44,hethiriyak janadi pathinitakda winasa meki budu lankawe dahama karana ne,YES
45,ane pau apahasa maranna kumarihamita podi karala bella mirikala daruwo ewata mokuth neme thibbe karanna dusanaya na maranawa,YES
46,wadaniya uda ciwarayanata budu painawa nigaru katin danawamai tigae kada kirimata ubda wacanata dittadamna karumae amruwak marapuuna na hari miha hiyanna padisan kiyapu,YES
47,matharamma buddha harima wasthuwakda apra apa gana dukai wanawa gani sundara giya podi karayo cjiwaraya karanawa hinsa baluwah wada rata oita ma koha antha ratak daruwo balla appa,YES
48,balu tenatath wesiyek to toge henagahannaona ammage wadapu wage,YES
49,pau kanthawakata geniyekuta banna me newei maruwath hirihara kireema waradei habai wage kotiyekuge na,YES
50,alawanna ape wenne barademu mun hadamu rata me sinhalayage mokadda mahindata ratata okkoma akathuwemu,YES
51,kiyala hukaganna kiyahan thambiyelta keri wesita,YES
52,padesan okege as denna one panapitama sathuta,YES
53,api henama hinsanayata tota duwanna edata patta gahanawa anduwatai toge wei wesi totai redi gal pare gahapan netuwa lagadima,YES
54,wenawa wendath tho duk unaawagema sathutu,YES
55,thindu henama karapu hotai me gahapiya rajayatai ekatai,YES
56,nehe wesitanm gihin kotinge wenne sidda hodak ata karapan me suppu gahapan cari deka hena wesi,YES
57,neeee danne lokuda huththa,YES
58,usawiyeth theendu desapalana,YES
59,balu hana hatama gahapiya huttita,YES
60,nidahas kanna nethiwa karapan magenguti oya hitan hodaekaawage unansewa,YES
61,karumeta gahala wesiyo akalata haduna,YES
62,yana inna ratak hora meka kade gonnu ganayonta,YES
63,gal gahanna genige me geta lasthiweyalla,YES
64,ewarayi karalla rata mun winasa,YES
65,ponna wasi,YES
